time_stamp,veh_0,veh_1,veh_2,veh_3,veh_4,veh_5,veh_6,veh_7,veh_8,veh_9,veh_10,veh_11,veh_12,veh_13,veh_14,veh_15,veh_16,veh_17,veh_18,veh_19
81,"['11.94', '975.12']","['7.58', '557.87']","['10.73', '753.4']","['13.28', '910.45']","['10.63', '741.41']","['2.71', '185.84']","['12.32', '703.22']","['4.43', '303.02']","['7.84', '400.32']","['3.96', '206.73']","['14.21', '651.42']","['11.08', '493.68']","['11.44', '506.29']","['14.55', '544.03']","['9.42', '251.49']","['6.58', '233.86']","['4.27', '157.33']","['7.19', '213.09']","['7.7', '180.35']","['9.58', '222.31']"
82,"['12.94', '988.06']","['7.38', '565.25']","['9.81', '763.22']","['12.87', '923.32']","['11.08', '752.49']","['2.87', '188.71']","['11.21', '714.42']","['5.54', '308.56']","['7', '407.32']","['3.48', '210.21']","['13.75', '665.17']","['10.49', '504.17']","['11.98', '518.27']","['14.67', '558.7']","['9.52', '261.01']","['6.75', '240.6']","['4.36', '161.68']","['8.03', '221.12']","['7.79', '188.15']","['10.89', '233.2']"
83,"['12.57', '1000.63']","['7.15', '572.39']","['10.13', '773.35']","['13.87', '937.2']","['11.36', '763.85']","['3.12', '191.84']","['12.2', '726.62']","['5.62', '314.18']","['7.57', '414.89']","['3.53', '213.74']","['13.52', '678.69']","['10.98', '515.15']","['11.34', '529.61']","['14.58', '573.27']","['9.38', '270.39']","['6.77', '247.37']","['4.93', '166.61']","['6.89', '228']","['6.7', '194.85']","['13.01', '246.21']"
84,"['12.44', '1013.07']","['6.64', '579.03']","['10.78', '784.12']","['13.31', '950.51']","['10.87', '774.72']","['3.06', '194.9']","['11.4', '738.02']","['5.06', '319.24']","['7.17', '422.07']","['4.19', '217.94']","['13.7', '692.4']","['10.37', '525.52']","['12.3', '541.91']","['14.73', '588']","['8.99', '279.39']","['7.03', '254.4']","['4.67', '171.27']","['7.36', '235.36']","['7.2', '202.05']","['14.96', '261.17']"
85,"['12.51', '1025.58']","['7.24', '586.28']","['9.96', '794.08']","['13.33', '963.83']","['11.63', '786.35']","['2.78', '197.68']","['11.6', '749.62']","['5.51', '324.74']","['6.61', '428.67']","['3.48', '221.42']","['14.11', '706.51']","['11.06', '536.58']","['12.05', '553.96']","['15', '603']","['9.22', '288.61']","['7.31', '261.71']","['4.59', '175.87']","['7.98', '243.34']","['6.59', '208.64']","['17.03', '278.2']"
86,"['12.21', '1037.79']","['7.33', '593.6']","['10.71', '804.79']","['13.51', '977.34']","['11.39', '797.74']","['2.78', '200.46']","['11.34', '760.96']","['5.1', '329.84']","['7.78', '436.45']","['3.75', '225.17']","['13.91', '720.41']","['10.52', '547.1']","['12.12', '566.07']","['14.46', '617.47']","['9.92', '298.53']","['6.92', '268.63']","['4.17', '180.04']","['6.94', '250.28']","['6.54', '215.18']","['16.7', '294.9']"
87,"['12.93', '1050.72']","['7.22', '600.83']","['9.93', '814.72']","['13.39', '990.73']","['11.74', '809.48']","['2.95', '203.41']","['12.19', '773.15']","['5.61', '335.45']","['7.67', '444.12']","['3.87', '229.04']","['14.07', '734.48']","['10.39', '557.49']","['12.1', '578.18']","['15.25', '632.72']","['9.6', '308.14']","['6.36', '274.99']","['5.31', '185.35']","['6.78', '257.06']","['7.07', '222.25']","['16.26', '311.15']"
88,"['12.71', '1063.43']","['7.13', '607.95']","['10.38', '825.1']","['13.44', '1004.17']","['11.75', '821.22']","['2.77', '206.18']","['12.2', '785.35']","['4.7', '340.15']","['6.69', '450.81']","['3.62', '232.66']","['13.55', '748.03']","['11.59', '569.08']","['12.28', '590.46']","['14.68', '647.4']","['9.28', '317.42']","['7.07', '282.06']","['4.84', '190.18']","['7.59', '264.65']","['6.85', '229.1']","['16.54', '327.7']"
89,"['12.95', '1076.38']","['6.68', '614.63']","['10.79', '835.89']","['13.65', '1017.82']","['10.92', '832.14']","['2.9', '209.08']","['12.06', '797.41']","['5.47', '345.63']","['7.05', '457.86']","['3.36', '236.03']","['13.58', '761.61']","['10.45', '579.53']","['11.45', '601.91']","['15.27', '662.66']","['8.97', '326.39']","['6.39', '288.45']","['4.73', '194.91']","['6.97', '271.62']","['7.51', '236.61']","['16.56', '344.26']"
90,"['12.34', '1088.72']","['7.83', '622.46']","['10.54', '846.43']","['13.51', '1031.33']","['11.08', '843.22']","['3.28', '212.36']","['11.22', '808.63']","['5.16', '350.78']","['7.71', '465.57']","['3.29', '239.32']","['13.93', '775.54']","['10.53', '590.06']","['12.04', '613.95']","['14.36', '677.03']","['9.36', '335.75']","['6.45', '294.91']","['4.49', '199.41']","['6.95', '278.56']","['7.14', '243.75']","['16.04', '360.3']"
91,"['12.34', '1101.06']","['6.75', '629.21']","['9.9', '856.33']","['13.41', '1044.74']","['10.67', '853.89']","['3.17', '215.53']","['12.03', '820.66']","['4.7', '355.48']","['7.51', '473.08']","['4.27', '243.58']","['13.66', '789.2']","['10.57', '600.64']","['11.64', '625.59']","['14.67', '691.7']","['9.11', '344.86']","['6.64', '301.55']","['4.76', '204.17']","['6.63', '285.2']","['7.63', '251.38']","['16.91', '377.21']"
92,"['12.26', '1113.32']","['7.84', '637.04']","['10.34', '866.67']","['13.51', '1058.25']","['11.12', '865.01']","['2.39', '217.92']","['11.36', '832.03']","['5.58', '361.06']","['7.79', '480.86']","['3.52', '247.11']","['13.2', '802.4']","['11.24', '611.88']","['12.15', '637.73']","['15.08', '706.78']","['9.8', '354.66']","['6.43', '307.97']","['2.61', '206.78']","['7.08', '292.28']","['6.57', '257.95']","['16.4', '393.61']"
93,"['12.01', '1125.33']","['7.48', '644.52']","['10.7', '877.37']","['13.97', '1072.22']","['11.59', '876.61']","['2.78', '220.7']","['11.85', '843.87']","['4.83', '365.89']","['7.28', '488.14']","['4.27', '251.38']","['13.66', '816.05']","['11.49', '623.37']","['12.27', '650']","['14.98', '721.76']","['8.87', '363.53']","['6.31', '314.29']","['4.25', '211.03']","['6.73', '299']","['6.71', '264.67']","['16.26', '409.87']"
94,"['12.51', '1137.84']","['6.83', '651.35']","['9.97', '887.33']","['13.2', '1085.42']","['11.43', '888.04']","['2.39', '223.09']","['12.25', '856.13']","['4.45', '370.33']","['7.78', '495.93']","['3.72', '255.09']","['13.34', '829.4']","['9.75', '633.12']","['11.21', '661.22']","['14.85', '736.61']","['9.44', '372.97']","['7.04', '321.33']","['4.99', '216.02']","['7.63', '306.63']","['7.72', '272.38']","['16.83', '426.71']"
95,"['13.01', '1150.85']","['7.07', '658.42']","['10.8', '898.14']","['13.74', '1099.16']","['11.42', '899.45']","['2.48', '225.57']","['11.76', '867.89']","['4.59', '374.93']","['6.97', '502.9']","['4.49', '259.58']","['13.28', '842.68']","['10.65', '643.77']","['11.2', '672.41']","['14.68', '751.29']","['10.1', '383.07']","['6.83', '328.15']","['4.54', '220.56']","['7.31', '313.94']","['6.64', '279.02']","['16.9', '443.6']"
96,"['12.01', '1162.86']","['7.1', '665.52']","['10.21', '908.35']","['13.2', '1112.35']","['11.54', '910.99']","['2.29', '227.87']","['11.56', '879.45']","['5.46', '380.39']","['7.88', '510.78']","['3.94', '263.52']","['13.25', '855.93']","['11.15', '654.92']","['11.89', '684.3']","['15.01', '766.3']","['9.8', '392.87']","['6.52', '334.67']","['4.12', '224.68']","['7.82', '321.76']","['6.97', '286']","['16.28', '459.89']"
97,"['12.13', '1174.99']","['7.36', '672.88']","['10.11', '918.46']","['13.42', '1125.77']","['10.85', '921.85']","['2.85', '230.72']","['11.59', '891.04']","['4.96', '385.35']","['7.65', '518.44']","['4.09', '267.61']","['13.02', '868.94']","['10.85', '665.77']","['11.51', '695.81']","['14.77', '781.07']","['9.47', '402.34']","['7.16', '341.84']","['4.99', '229.66']","['6.92', '328.68']","['7.06', '293.06']","['16.13', '476.02']"
98,"['12.47', '1187.46']","['7.54', '680.42']","['10.15', '928.61']","['13.59', '1139.37']","['10.99', '932.84']","['2.48', '233.2']","['11.16', '902.19']","['4.67', '390.01']","['7.4', '525.84']","['4.13', '271.74']","['14', '882.94']","['11.17', '676.94']","['11.96', '707.78']","['14.72', '795.79']","['9.96', '412.3']","['6.7', '348.53']","['4.3', '233.96']","['7.85', '336.53']","['7.8', '300.85']","['15.98', '492']"
99,"['11.78', '1199.25']","['7.71', '688.13']","['10.36', '938.97']","['13.8', '1153.17']","['10.7', '943.54']","['2.91', '236.11']","['11.48', '913.67']","['4.44', '394.46']","['7.05', '532.88']","['4.41', '276.15']","['13.48', '896.42']","['10.36', '687.29']","['11.74', '719.52']","['15.52', '811.31']","['10.08', '422.38']","['7.01', '355.55']","['4.16', '238.12']","['7.12', '343.65']","['6.63', '307.49']","['16.01', '508.01']"
100,"['12.04', '1211.28']","['6.96', '695.09']","['10.18', '949.16']","['13.18', '1166.35']","['10.56', '954.1']","['2.71', '238.82']","['12.25', '925.93']","['5.55', '400.01']","['7.34', '540.23']","['3.53', '279.68']","['13.85', '910.27']","['10.68', '697.98']","['11.84', '731.36']","['14.46', '825.76']","['9.37', '431.75']","['6.88', '362.43']","['5.23', '243.35']","['7.24', '350.89']","['6.77', '314.26']","['16.45', '524.46']"
101,"['12.17', '1223.45']","['7.75', '702.84']","['10.42', '959.57']","['13.07', '1179.42']","['11.63', '965.72']","['3.34', '242.16']","['11.54', '937.47']","['5.22', '405.23']","['6.75', '546.98']","['4.33', '284']","['13.6', '923.87']","['11.29', '709.26']","['11.83', '743.19']","['15.1', '840.86']","['9.97', '441.72']","['7.16', '369.59']","['5.15', '248.5']","['7.57', '358.46']","['7.26', '321.52']","['15.92', '540.38']"
102,"['12.28', '1235.73']","['7.47', '710.3']","['10.2', '969.78']","['13.29', '1192.71']","['10.61', '976.33']","['3.33', '245.49']","['10.54', '948']","['5.15', '410.37']","['7.35', '554.33']","['3.63', '287.64']","['13.9', '937.77']","['11.17', '720.43']","['12.01', '755.2']","['14.79', '855.65']","['9.08', '450.8']","['7.06', '376.65']","['4.67', '253.17']","['7.33', '365.79']","['7.44', '328.97']","['15.88', '556.26']"
103,"['11.86', '1247.59']","['7.81', '718.12']","['9.68', '979.46']","['12.79', '1205.5']","['10.83', '987.16']","['3.38', '248.88']","['11.55', '959.55']","['5.56', '415.93']","['7.78', '562.12']","['3.76', '291.39']","['13.3', '951.07']","['10.33', '730.76']","['12.19', '767.39']","['15.15', '870.8']","['9.1', '459.91']","['7.24', '383.89']","['4.35', '257.52']","['7.53', '373.32']","['7.4', '336.37']","['15.96', '572.22']"
104,"['12.09', '1259.69']","['7.21', '725.33']","['9.74', '989.2']","['12.88', '1218.37']","['10.78', '997.94']","['2.36', '251.23']","['10.07', '969.63']","['4.54', '420.47']","['7.52', '569.63']","['3.96', '295.36']","['13.18', '964.25']","['11.15', '741.91']","['11.35', '778.74']","['14.71', '885.51']","['9.63', '469.54']","['6.39', '390.28']","['5.29', '262.81']","['7.57', '380.89']","['7.63', '344.01']","['16.03', '588.26']"
105,"['12.71', '1272.4']","['7.32', '732.64']","['9.83', '999.02']","['12.88', '1231.26']","['11.31', '1009.25']","['3.16', '254.39']","['9.63', '979.25']","['4.44', '424.91']","['6.94', '576.57']","['3.74', '299.1']","['14.16', '978.41']","['11.55', '753.46']","['12.22', '790.96']","['15.48', '900.99']","['10.1', '479.64']","['7.25', '397.53']","['4.92', '267.73']","['7.83', '388.72']","['7', '351']","['16.73', '604.99']"
106,"['12.36', '1284.75']","['7.29', '739.94']","['10.39', '1009.41']","['13.34', '1244.6']","['10.49', '1019.74']","['2.32', '256.71']","['9.8', '989.05']","['5.6', '430.51']","['6.74', '583.31']","['3.58', '302.67']","['13.06', '991.47']","['11.55', '765']","['11.46', '802.42']","['14.37', '915.36']","['9.98', '489.61']","['6.25', '403.79']","['4.51', '272.25']","['7.84', '396.55']","['7.74', '358.75']","['16.09', '621.07']"
